-6,-15,-5,22,-3,18,-15,-16,18,17,15,19,-17,9,29,-4,25,-3,-9,27,16,-23,14,-23,14,25,-7,-25,-7,-25,36,-1,-21,-19,-22,-12,29,-17,-25,6,-24,8,0,-37,-19,19,-11,21,-23,-28,1,23,10,21,-37,-5,14,14,19,7,-29,21,22,1,20,-6,-10,38,13,-11,9,-18,20,29,5,-18,-2,-17,35,8,-8,-15,-13,-12,39,-4,-12,-10,-19,-5,24,-27,-13,0,-15,8,-1,-36,-10,6,-5,14,-23,-31,-5,7,5,14,-34,-4,0,8,12,7,-27,18,4,8,10,-2,-16,32,4,6,7,-8,12,32,9,3,1,-9,30,14,12,-6,-4,-9,33,-9,10,-12,-7,-2,19,-35,-7,-21,-10,0,-8,-35,-15,-9,-4,10,-37,-14,-19,4,4,8,-36,20,-11,23,7,3,-6,33,8,18,7,-3,10,26,14,12,5,-3,0
8,-4,24,0,-14,-3,1,-12,18,-28,-14,17,-12,-11,-8,-32,5,19,-13,3,-32,-14,17,10,-9,15,-30,14,18,-8,9,21,-12,29,4,-20,28,13,11,27,-14,-16,28,-9,26,11,-20,-1,14,-30,27,-8,-14,12,-9,-31,10,-24,-2,20,-28,-18,-8,-24,12,16,-31,7,-19,-12,15,2,-12,28,-24,6,15,-9,11,32,-16,18,5,-15,20,24,-5,23,-3,-16,32,4,11,18,-14,-11,26,-17,18,6,-14,0,11,-34,13,-2,-10,12,-18,-35,14,-9,-2,12,-31,-6,2,-14,5,9,-27,14,-6,-9,12,1,-10,32,-13,-7,10,-3,10,32,-14,2,4,-10,31,17,-13,11,-1,-11,33,-14,-3,19,-8,-5,10,-40,14,19,-10,1,-18,-32,20,4,-4,8,-40,-2,16,-14,6,7,-22,25,-1,-20,9,1,-6,31,-9,-18,6,-1,0
12,-2,-23,-8,7,-15,9,-11,-21,18,-13,-18,-5,-13,-1,29,-21,-1,-15,-11,20,20,-16,14,-24,10,28,5,-2,23,-9,23,21,-19,17,17,12,29,9,-24,20,-1,29,12,-12,-22,15,-16,25,-11,-24,-8,1,-21,11,-25,-23,8,-12,-14,-8,-29,-13,20,-18,-3,-28,-17,1,20,-13,9,-33,3,14,15,-6,16,-22,23,19,1,7,15,-17,32,13,-2,11,9,9,29,10,-10,14,2,29,20,4,-14,11,-7,34,-1,-5,-11,4,-12,25,-22,-6,-8,-6,-10,3,-31,-12,-1,-9,-6,-17,-25,-10,5,-12,1,-31,-10,-8,11,-8,7,-29,11,-2,14,-1,10,-15,35,11,17,1,9,12,34,20,7,7,6,33,16,20,-8,10,-2,37,-15,10,-23,7,-6,9,-35,-9,-22,-4,-9,-20,-26,-21,-6,-7,-4,-21,-13,-17,4,-7,-1,0
16,-29,7,-4,-13,-18,-12,-38,4,-12,-27,-7,-32,-20,-8,-15,-26,15,-40,0,-16,-4,-10,25,-32,24,-20,9,9,30,-16,38,-7,21,22,21,12,38,4,28,31,1,28,26,23,14,24,-16,33,6,28,4,10,-25,34,-8,22,-14,-2,-24,19,-25,13,-27,-18,-18,3,-32,-4,-28,-24,-7,-14,-29,-18,-21,-24,5,-23,-14,-30,-13,-16,17,-27,-8,-26,-1,-11,22,-24,5,-23,13,2,18,-13,18,-15,23,13,15,-2,19,-2,27,17,6,6,12,13,26,11,-7,12,9,23,12,12,-11,9,1,27,-4,1,-12,3,-8,23,-10,-4,-13,1,-5,14,-23,-8,-10,-7,0,8,-28,-8,-3,-1,3,-7,-25,-7,0,4,6,-26,-15,-5,7,9,4,-25,5,-1,6,11,-7,-21,20,4,3,5,-13,1,26,3,2,-2,-11,10,19,1,-1,0
11,-15,-23,-3,18,9,2,-19,-22,26,28,-10,-21,-13,4,31,9,-28,-27,8,22,20,-13,-27,-12,29,32,3,-28,-12,13,34,22,-17,-29,12,25,16,5,-30,-13,26,35,-10,-9,-27,4,28,19,-26,-25,-15,20,20,2,-32,-27,6,28,4,-18,-28,-16,20,22,-14,-28,-9,-4,23,9,-20,-32,10,10,15,-8,-19,-19,26,19,5,-19,-14,-8,31,21,-1,-23,-8,8,30,11,-12,-21,8,23,19,-1,-17,-11,17,34,5,-6,-7,-1,16,28,-16,-8,1,11,12,13,-34,-3,5,15,5,-9,-33,4,3,11,-3,-26,-25,6,0,10,-9,-35,-4,3,-7,4,-10,-29,22,-5,-6,-4,-10,-18,39,-13,-6,-9,-5,14,38,-12,8,-9,-1,34,19,-7,13,-5,9,32,-15,8,11,2,10,12,-33,15,5,7,4,-5,-30,16,-3,5,-2,0
18,7,-5,-20,-22,-2,17,-13,-31,-17,-24,19,-1,-21,-32,10,-1,31,-19,-14,-16,28,22,18,-25,8,9,37,33,-1,-12,24,31,20,21,-22,7,25,35,-8,-1,-33,31,12,29,-20,-13,-20,34,-10,3,-31,-27,-1,24,-22,-18,-22,-24,17,-2,-34,-29,-7,-11,28,-26,-22,-26,9,9,22,-31,-9,-8,21,20,11,-33,19,3,20,21,-4,-24,26,13,19,21,-10,-2,37,16,8,8,-16,19,25,18,-5,-3,-18,28,7,8,-13,-13,-10,30,-12,-2,-13,-16,1,21,-24,-11,-2,-13,11,7,-30,-4,9,-1,15,-19,-19,-1,6,8,12,-30,-10,5,-1,9,5,-29,14,2,-5,9,-2,-22,29,-6,-8,9,-6,8,34,-12,-2,0,-10,30,20,-13,8,-12,-5,33,-4,0,14,-7,-5,20,-22,12,16,-3,5,2,-29,17,2,-4,2,0
-5,12,-32,25,-24,5,1,20,1,46,-10,30,23,5,37,23,20,24,26,-15,44,-11,35,3,2,-30,12,-36,14,-24,-19,-26,-17,-34,-7,-28,-32,3,-35,-15,-23,-13,-26,23,-30,17,-27,11,-2,30,-9,33,-12,24,26,22,15,26,13,22,32,-2,28,10,21,10,23,-25,25,-11,21,-8,3,-40,10,-19,7,-20,-25,-26,-5,-23,-4,-18,-27,-18,-13,-14,-13,-14,-33,8,-17,-1,-19,-1,-13,24,-13,10,-12,9,4,29,-5,11,-4,12,24,19,2,11,5,10,32,5,5,4,10,5,27,-21,5,9,7,-1,4,-32,9,2,6,-7,-22,-31,13,-4,1,-9,-40,-7,6,-17,-7,-14,-31,24,-9,-17,-14,-4,0,36,-24,-7,-13,4,31,23,-23,12,-5,13,37,-5,-4,24,7,10,14,-33,18,25,11,6,-3,-29,21,8,10,-4,1
-28,18,8,-20,21,1,2,39,-18,-25,13,-21,36,25,-25,3,-10,-24,40,-17,-13,25,-26,-5,10,-40,15,25,-18,18,-25,-35,28,5,4,25,-37,-4,23,-21,19,13,-30,24,-2,-26,20,-6,2,38,-22,-21,9,-22,27,24,-29,3,-8,-21,33,-3,-18,22,-19,-7,22,-23,7,29,-18,7,0,-28,28,16,-5,17,-24,-19,31,-7,9,18,-25,-10,26,-20,14,12,-26,12,7,-29,18,0,-11,21,-23,-25,11,-11,6,22,-34,-1,1,-16,20,11,-27,23,-10,-12,21,-2,3,36,-14,-2,16,-18,26,22,-14,9,-1,-20,38,-5,-2,15,-15,-19,21,-30,6,14,-20,3,-9,-40,16,-2,-18,16,-39,-17,14,-11,-3,24,-37,24,0,-16,21,14,-1,42,-13,-10,25,-5,34,23,-13,3,7,-21,32,-13,-3,14,-4,-23,18,-24,1,14,1
23,-23,0,-12,21,-5,-12,-37,-15,-9,5,-25,-38,-12,-14,10,-21,-18,-28,21,6,21,-23,8,-2,33,19,5,-7,20,28,21,16,-13,13,20,33,-10,5,-19,24,1,14,-30,-13,-17,16,-17,-12,-31,-17,2,-1,-21,-30,-12,-11,16,-17,-14,-26,12,7,21,-19,4,-8,26,17,10,-10,14,14,25,19,-5,4,19,25,8,7,-19,15,9,23,-2,-2,-24,17,1,14,-20,-17,-16,13,-11,-3,-23,-23,5,2,-17,-17,-12,-15,20,-12,-11,-17,4,1,24,-13,-1,-15,11,22,13,-11,7,-8,19,25,-12,-4,13,11,18,9,-25,8,13,19,6,-14,-29,15,1,22,-13,-31,-5,14,-10,6,-28,-21,25,-1,-18,-16,-23,5,30,-11,-11,-28,2,29,15,-17,7,-18,27,24,-19,-4,16,12,26,-1,-28,10,13,21,16,-17,-21,12,5,1
9,-32,13,-3,8,9,-27,-26,1,-14,13,-5,-39,12,-12,-8,3,-17,-10,39,-16,6,-12,-11,19,28,1,13,-13,3,34,-2,10,8,-5,13,24,-23,11,1,6,10,-2,-33,9,-3,12,1,-23,-16,0,-10,8,-9,-28,4,-4,-4,1,-10,-16,21,-7,-4,-8,-6,5,21,-3,7,-7,1,16,10,2,7,-2,6,21,1,6,4,-2,5,17,-7,8,2,1,5,7,-16,6,-4,4,4,-4,-14,-3,-9,4,-1,-14,-9,-6,-5,5,-3,-16,0,-10,3,7,-5,-11,9,-3,11,-2,-6,-8,18,6,8,-6,-6,9,20,11,-1,-10,1,20,7,6,-13,-4,8,29,-12,-8,-10,1,15,7,-31,-10,0,13,7,-18,-25,-8,13,13,-7,-33,2,8,14,-1,-13,-20,27,16,0,-12,-8,18,31,4,-10,-13,5,25,18,-2,-11,-9,9,0
